epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
46,0.3641,1.9323,"[ 0.42534141  0.27322187 -0.1556011  -0.15908201  0.21394382  0.36252451
  0.53920031  1.10993979  1.04644212  0.52104955 -0.11036138  0.90202025
  1.09520011  0.71233238  0.71453996  1.092267    0.90905767 -0.20787349
  0.53798785  0.31526167  0.6398282   1.23202596  0.41835775  0.93400944
  0.66800782  0.62713991  0.44163025 -0.20280391 -0.12756678  0.24544315
  0.50751181  0.06344338]",14.2108
47,0.3676,1.9538,"[ 0.43133555  0.26722302 -0.16159982 -0.16508138  0.20795516  0.36851764
  0.53320118  1.11593873  1.05243308  0.52704912 -0.11636053  0.90801929
  1.10119988  0.70633703  0.70855122  1.09826342  0.91505318 -0.21385678
  0.54398181  0.30947322  0.63383635  1.23801431  0.42435196  0.93998376
  0.67400192  0.62114021  0.43563045 -0.20880381 -0.13356637  0.2394463
  0.50151733  0.05744571]",14.2059
48,0.3707,1.9121,"[ 0.43733041  0.2612242  -0.16759851 -0.17108075  0.20196618  0.37451092
  0.52720206  1.12193766  1.05842036  0.53304867 -0.1223597   0.9140183
  1.10719965  0.70034152  0.70256165  1.10425976  0.92104845 -0.2198388
  0.54997554  0.3036801   0.62784411  1.24400282  0.43034777  0.94595997
  0.6799959   0.61514052  0.42963065 -0.21480371 -0.13956595  0.23344969
  0.49552354  0.05144817]",14.2017
49,0.3634,1.8955,"[ 0.44332573  0.2552254  -0.17359718 -0.17708014  0.19597683  0.38050438
  0.52120294  1.1279366   1.06437511  0.53904822 -0.12835888  0.92001731
  1.11319941  0.69434585  0.69657129  1.11025601  0.9270435  -0.2258195
  0.55596905  0.29788175  0.62185148  1.24999155  0.43634421  0.95193801
  0.68598977  0.60914085  0.42363086 -0.22080361 -0.14556555  0.22745335
  0.48953057  0.04545076]",14.198
50,0.3701,1.9244,"[ 0.44932152  0.24922662 -0.17959585 -0.18307955  0.18998709  0.3864981
  0.51520383  1.13393553  1.06438063  0.54504777 -0.13435808  0.92601633
  1.11919918  0.68834997  0.69058017  1.11625222  0.93303838 -0.23179895
  0.56196239  0.29207643  0.61585842  1.25598059  0.44234118  0.95791787
  0.69198359  0.60314118  0.41763106 -0.22680351 -0.15156515  0.22145726
  0.48353849  0.03945348]",14.1973
51,0.3693,1.9237,"[ 0.45531767  0.24322786 -0.1855945  -0.18907897  0.18399725  0.39249206
  0.50920473  1.13993446  1.06236593  0.55104731 -0.1403573   0.93201534
  1.12519894  0.6823539   0.68458849  1.12224836  0.93903307 -0.23777691
  0.5679555   0.28626514  0.60986497  1.26196989  0.44833851  0.96389914
  0.69797737  0.59714152  0.41163126 -0.23280342 -0.15756475  0.21546146
  0.47754747  0.03345633]",14.1981
52,0.3702,1.8851,"[ 0.46131418  0.23722912 -0.19159314 -0.19507842  0.17800754  0.39848628
  0.50320563  1.14593339  1.05640246  0.55704684 -0.14635654  0.93801435
  1.13119871  0.67635763  0.67859636  1.1282444   0.9450276  -0.24375319
  0.57394835  0.28044795  0.60387115  1.26795946  0.45433616  0.96988157
  0.70397112  0.59114188  0.40563146 -0.23880333 -0.16356436  0.20946599
  0.47155761  0.02745932]",14.201
53,0.3587,1.9647,"[ 0.46731088  0.23123043 -0.19759176 -0.20107788  0.17201813  0.40448072
  0.49720654  1.1519323   1.05042312  0.56304636 -0.1523558   0.94401333
  1.13719847  0.67036121  0.67260391  1.13424031  0.95102193 -0.24972741
  0.57994086  0.27462653  0.59787703  1.27394921  0.46033418  0.9758649
  0.70996479  0.58514225  0.39963167 -0.24480323 -0.16956396  0.20347092
  0.46556926  0.0214625 ]",14.2045
54,0.3645,1.8904,"[ 0.47330775  0.22523177 -0.20359036 -0.20707735  0.16602906  0.41047536
  0.49120745  1.1579312   1.04443786  0.56904585 -0.15835507  0.95001228
  1.14319823  0.66436463  0.66661116  1.14023608  0.95701604 -0.25569928
  0.58593299  0.26880121  0.59188262  1.27993911  0.46633247  0.98184903
  0.71595838  0.57914266  0.39363187 -0.25080314 -0.17556356  0.19747632
  0.45958298  0.01546588]",14.2085
55,0.3717,1.9091,"[ 0.47930482  0.21923316 -0.20958894 -0.21307684  0.16004033  0.41647023
  0.48520838  1.16393009  1.03844722  0.57504534 -0.16435435  0.95601124
  1.14919799  0.6583679   0.66061812  1.14623172  0.96300994 -0.26166862
  0.59192475  0.26297171  0.58588793  1.28592918  0.47233086  0.98783397
  0.72195191  0.57314308  0.38763207 -0.25680305 -0.18156316  0.19148224
  0.45359953  0.00946946]",14.213
56,0.3661,1.9512,"[ 0.48530209  0.21323455 -0.21558752 -0.21907635  0.1540518   0.42246538
  0.47920932  1.16992897  1.03245484  0.58104481 -0.17035366  0.96201019
  1.15519776  0.65237098  0.65462471  1.1522273   0.9690037  -0.26763564
  0.59791624  0.25713573  0.5798929   1.29191958  0.47832944  0.99381988
  0.72794546  0.56714352  0.38163227 -0.26280297 -0.18756276  0.18548867
  0.44762001  0.00347321]",14.218
57,0.3655,2.0351,"[ 0.49129946  0.207236   -0.22158606 -0.22507587  0.14806383  0.42846068
  0.47321029  1.17592783  1.02646153  0.58704426 -0.17635296  0.96800912
  1.16119752  0.64637394  0.64863112  1.15822268  0.97499717 -0.27359908
  0.60390719  0.25129783  0.57389768  1.29791002  0.48432811  0.99980631
  0.73393886  0.561144    0.37563248 -0.26880288 -0.19356236  0.17949589
  0.44164788 -0.00252276]",14.2235
58,0.3523,1.9968,"[ 0.49729696  0.2012375  -0.22758458 -0.23107541  0.14207639  0.43445616
  0.46721129  1.18192665  1.02046733  0.59304368 -0.18235228  0.97400802
  1.16719727  0.64037678  0.64263732  1.1642179   0.98099035 -0.2795587
  0.60989764  0.245457    0.56790225  1.30390057  0.4903269   1.00579333
  0.73993215  0.55514452  0.36963268 -0.2748028  -0.19956196  0.17350399
  0.43569069 -0.00851844]",14.2295
59,0.3523,2.0155,"[ 0.50329456  0.19523903 -0.23358308 -0.23707496  0.13608948  0.44045183
  0.4612123   1.18792545  1.01447247  0.59904307 -0.18835161  0.98000689
  1.17319703  0.63437949  0.63664328  1.17021297  0.98698328 -0.28551414
  0.61588758  0.23961253  0.56190658  1.30989126  0.49632583  1.01178098
  0.74592534  0.54914511  0.36363289 -0.28080271 -0.20556156  0.16751315
  0.42978535 -0.01451384]",14.2359
60,0.3584,2.0544,"[ 0.50929217  0.18924066 -0.2395815  -0.2430745   0.1301037   0.44644755
  0.45521337  1.19392419  1.00847711  0.6050424  -0.19435091  0.9860057
  1.17919678  0.62838216  0.63064925  1.17620772  0.9929757  -0.29146312
  0.62187659  0.23377005  0.55591085  1.31588175  0.50232478  1.01776878
  0.75191819  0.54314576  0.3576331  -0.28680263 -0.21156114  0.16152399
  0.43006875 -0.02050873]",14.2437
